Entity,Code,Day,Weekly cases
Mexico,MEX,2020-01-09,0
Mexico,MEX,2020-01-10,0
Mexico,MEX,2020-01-11,0
Mexico,MEX,2020-01-12,0
Mexico,MEX,2020-01-13,0
Mexico,MEX,2020-01-14,0
Mexico,MEX,2020-01-15,0
Mexico,MEX,2020-01-16,0
Mexico,MEX,2020-01-17,0
Mexico,MEX,2020-01-18,0
Mexico,MEX,2020-01-19,0
Mexico,MEX,2020-01-20,0
Mexico,MEX,2020-01-21,0
Mexico,MEX,2020-01-22,0
Mexico,MEX,2020-01-23,0
Mexico,MEX,2020-01-24,0
Mexico,MEX,2020-01-25,0
Mexico,MEX,2020-01-26,0
Mexico,MEX,2020-01-27,0
Mexico,MEX,2020-01-28,0
Mexico,MEX,2020-01-29,0
Mexico,MEX,2020-01-30,0
Mexico,MEX,2020-01-31,0
Mexico,MEX,2020-02-01,0
Mexico,MEX,2020-02-02,0
Mexico,MEX,2020-02-03,0
Mexico,MEX,2020-02-04,0
Mexico,MEX,2020-02-05,0
Mexico,MEX,2020-02-06,0
Mexico,MEX,2020-02-07,0
Mexico,MEX,2020-02-08,0
Mexico,MEX,2020-02-09,0
Mexico,MEX,2020-02-10,0
Mexico,MEX,2020-02-11,0
Mexico,MEX,2020-02-12,0
Mexico,MEX,2020-02-13,0
Mexico,MEX,2020-02-14,0
Mexico,MEX,2020-02-15,0
Mexico,MEX,2020-02-16,0
Mexico,MEX,2020-02-17,0
Mexico,MEX,2020-02-18,0
Mexico,MEX,2020-02-19,0
Mexico,MEX,2020-02-20,0
Mexico,MEX,2020-02-21,1
Mexico,MEX,2020-02-22,1
Mexico,MEX,2020-02-23,1
Mexico,MEX,2020-02-24,1
Mexico,MEX,2020-02-25,1
Mexico,MEX,2020-02-26,1
Mexico,MEX,2020-02-27,1
Mexico,MEX,2020-02-28,0
Mexico,MEX,2020-02-29,3
Mexico,MEX,2020-03-01,5
Mexico,MEX,2020-03-02,7
Mexico,MEX,2020-03-03,9
Mexico,MEX,2020-03-04,14
Mexico,MEX,2020-03-05,23
Mexico,MEX,2020-03-06,33
Mexico,MEX,2020-03-07,41
Mexico,MEX,2020-03-08,45
Mexico,MEX,2020-03-09,50
Mexico,MEX,2020-03-10,56
Mexico,MEX,2020-03-11,56
Mexico,MEX,2020-03-12,64
Mexico,MEX,2020-03-13,93
Mexico,MEX,2020-03-14,123
Mexico,MEX,2020-03-15,183
Mexico,MEX,2020-03-16,228
Mexico,MEX,2020-03-17,257
Mexico,MEX,2020-03-18,329
Mexico,MEX,2020-03-19,416
Mexico,MEX,2020-03-20,493
Mexico,MEX,2020-03-21,603
Mexico,MEX,2020-03-22,669
Mexico,MEX,2020-03-23,702
Mexico,MEX,2020-03-24,735
Mexico,MEX,2020-03-25,826
Mexico,MEX,2020-03-26,942
Mexico,MEX,2020-03-27,1011
Mexico,MEX,2020-03-28,1084
Mexico,MEX,2020-03-29,1214
Mexico,MEX,2020-03-30,1320
Mexico,MEX,2020-03-31,1416
Mexico,MEX,2020-04-01,1593
Mexico,MEX,2020-04-02,1684
Mexico,MEX,2020-04-03,1881
Mexico,MEX,2020-04-04,2004
Mexico,MEX,2020-04-05,2134
Mexico,MEX,2020-04-06,2193
Mexico,MEX,2020-04-07,2286
Mexico,MEX,2020-04-08,2572
Mexico,MEX,2020-04-09,2776
Mexico,MEX,2020-04-10,2975
Mexico,MEX,2020-04-11,3111
Mexico,MEX,2020-04-12,3291
Mexico,MEX,2020-04-13,3505
Mexico,MEX,2020-04-14,3725
Mexico,MEX,2020-04-15,4047
Mexico,MEX,2020-04-16,4468
Mexico,MEX,2020-04-17,4872
Mexico,MEX,2020-04-18,5385
Mexico,MEX,2020-04-19,5958
Mexico,MEX,2020-04-20,6309
Mexico,MEX,2020-04-21,6624
Mexico,MEX,2020-04-22,7192
Mexico,MEX,2020-04-23,7727
Mexico,MEX,2020-04-24,8165
Mexico,MEX,2020-04-25,8675
Mexico,MEX,2020-04-26,9264
Mexico,MEX,2020-04-27,9613
Mexico,MEX,2020-04-28,9936
Mexico,MEX,2020-04-29,10357
Mexico,MEX,2020-04-30,10847
Mexico,MEX,2020-05-01,11372
Mexico,MEX,2020-05-02,11750
Mexico,MEX,2020-05-03,11571
Mexico,MEX,2020-05-04,11900
Mexico,MEX,2020-05-05,12160
Mexico,MEX,2020-05-06,12860
Mexico,MEX,2020-05-07,13133
Mexico,MEX,2020-05-08,13574
Mexico,MEX,2020-05-09,14221
Mexico,MEX,2020-05-10,15196
Mexico,MEX,2020-05-11,15360
Mexico,MEX,2020-05-12,15535
Mexico,MEX,2020-05-13,16011
Mexico,MEX,2020-05-14,16847
Mexico,MEX,2020-05-15,17688
Mexico,MEX,2020-05-16,18374
Mexico,MEX,2020-05-17,19538
Mexico,MEX,2020-05-18,20151
Mexico,MEX,2020-05-19,20338
Mexico,MEX,2020-05-20,21401
Mexico,MEX,2020-05-21,22041
Mexico,MEX,2020-05-22,22863
Mexico,MEX,2020-05-23,23749
Mexico,MEX,2020-05-24,24187
Mexico,MEX,2020-05-25,24333
Mexico,MEX,2020-05-26,24596
Mexico,MEX,2020-05-27,25203
Mexico,MEX,2020-05-28,25916
Mexico,MEX,2020-05-29,26430
Mexico,MEX,2020-05-30,26637
Mexico,MEX,2020-05-31,26973
Mexico,MEX,2020-06-01,27379
Mexico,MEX,2020-06-02,27576
Mexico,MEX,2020-06-03,28241
Mexico,MEX,2020-06-04,28655
Mexico,MEX,2020-06-05,29162
Mexico,MEX,2020-06-06,29865
Mexico,MEX,2020-06-07,30556
Mexico,MEX,2020-06-08,30883
Mexico,MEX,2020-06-09,31152
Mexico,MEX,2020-06-10,31990
Mexico,MEX,2020-06-11,33026
Mexico,MEX,2020-06-12,33779
Mexico,MEX,2020-06-13,34237
Mexico,MEX,2020-06-14,34822
Mexico,MEX,2020-06-15,34904
Mexico,MEX,2020-06-16,35138
Mexico,MEX,2020-06-17,35537
Mexico,MEX,2020-06-18,36140
Mexico,MEX,2020-06-19,36494
Mexico,MEX,2020-06-20,37169
Mexico,MEX,2020-06-21,37587
Mexico,MEX,2020-06-22,38092
Mexico,MEX,2020-06-23,38000
Mexico,MEX,2020-06-24,38324
Mexico,MEX,2020-06-25,38465
Mexico,MEX,2020-06-26,38654
Mexico,MEX,2020-06-27,38850
Mexico,MEX,2020-06-28,39306
Mexico,MEX,2020-06-29,39349
Mexico,MEX,2020-06-30,39804
Mexico,MEX,2020-07-01,40353
Mexico,MEX,2020-07-02,40965
Mexico,MEX,2020-07-03,42292
Mexico,MEX,2020-07-04,43050
Mexico,MEX,2020-07-05,43553
Mexico,MEX,2020-07-06,43534
Mexico,MEX,2020-07-07,43572
Mexico,MEX,2020-07-08,43892
Mexico,MEX,2020-07-09,44590
Mexico,MEX,2020-07-10,44347
Mexico,MEX,2020-07-11,44306
Mexico,MEX,2020-07-12,44406
Mexico,MEX,2020-07-13,44573
Mexico,MEX,2020-07-14,44748
Mexico,MEX,2020-07-15,45792
Mexico,MEX,2020-07-16,46328
Mexico,MEX,2020-07-17,47739
Mexico,MEX,2020-07-18,48946
Mexico,MEX,2020-07-19,49775
Mexico,MEX,2020-07-20,50301
Mexico,MEX,2020-07-21,50524
Mexico,MEX,2020-07-22,50730
Mexico,MEX,2020-07-23,50927
Mexico,MEX,2020-07-24,50367
Mexico,MEX,2020-07-25,50198
Mexico,MEX,2020-07-26,50177
Mexico,MEX,2020-07-27,49935
Mexico,MEX,2020-07-28,49504
Mexico,MEX,2020-07-29,48898
Mexico,MEX,2020-07-30,48440
Mexico,MEX,2020-07-31,47810
Mexico,MEX,2020-08-01,47289
Mexico,MEX,2020-08-02,45999
Mexico,MEX,2020-08-03,45622
Mexico,MEX,2020-08-04,45115
Mexico,MEX,2020-08-05,44125
Mexico,MEX,2020-08-06,43316
Mexico,MEX,2020-08-07,42821
Mexico,MEX,2020-08-08,41923
Mexico,MEX,2020-08-09,41814
Mexico,MEX,2020-08-10,41662
Mexico,MEX,2020-08-11,41541
Mexico,MEX,2020-08-12,41275
Mexico,MEX,2020-08-13,40763
Mexico,MEX,2020-08-14,40085
Mexico,MEX,2020-08-15,39863
Mexico,MEX,2020-08-16,39452
Mexico,MEX,2020-08-17,39025
Mexico,MEX,2020-08-18,38923
Mexico,MEX,2020-08-19,38555
