Entity,Code,Day,Cumulative excess deaths (central estimate),Total confirmed deaths due to COVID-19,"Cumulative excess deaths (95% CI, upper bound)","Cumulative excess deaths (95% CI, lower bound)"
Mexico,MEX,2020-01-01,0.0,,0.0,0.0
Mexico,MEX,2020-01-04,,0.0,,
Mexico,MEX,2020-01-05,,0.0,,
Mexico,MEX,2020-01-06,0.0,0.0,0.0,0.0
Mexico,MEX,2020-01-07,,0.0,,
Mexico,MEX,2020-01-08,,0.0,,
Mexico,MEX,2020-01-09,,0.0,,
Mexico,MEX,2020-01-10,,0.0,,
Mexico,MEX,2020-01-11,,0.0,,
Mexico,MEX,2020-01-12,,0.0,,
Mexico,MEX,2020-01-13,0.0,0.0,0.0,0.0
Mexico,MEX,2020-01-14,,0.0,,
Mexico,MEX,2020-01-15,,0.0,,
Mexico,MEX,2020-01-16,,0.0,,
Mexico,MEX,2020-01-17,,0.0,,
Mexico,MEX,2020-01-18,,0.0,,
Mexico,MEX,2020-01-19,,0.0,,
Mexico,MEX,2020-01-20,0.0,0.0,0.0,0.0
Mexico,MEX,2020-01-21,,0.0,,
Mexico,MEX,2020-01-22,,0.0,,
Mexico,MEX,2020-01-23,,0.0,,
Mexico,MEX,2020-01-24,,0.0,,
Mexico,MEX,2020-01-25,,0.0,,
Mexico,MEX,2020-01-26,,0.0,,
Mexico,MEX,2020-01-27,-480.94568,0.0,-480.94568,-480.94568
Mexico,MEX,2020-01-28,,0.0,,
Mexico,MEX,2020-01-29,,0.0,,
Mexico,MEX,2020-01-30,,0.0,,
Mexico,MEX,2020-01-31,,0.0,,
Mexico,MEX,2020-02-01,,0.0,,
Mexico,MEX,2020-02-02,,0.0,,
Mexico,MEX,2020-02-03,-552.89136,0.0,-552.89136,-552.89136
Mexico,MEX,2020-02-04,,0.0,,
Mexico,MEX,2020-02-05,,0.0,,
Mexico,MEX,2020-02-06,,0.0,,
Mexico,MEX,2020-02-07,,0.0,,
Mexico,MEX,2020-02-08,,0.0,,
Mexico,MEX,2020-02-09,,0.0,,
Mexico,MEX,2020-02-10,-1084.5038,0.0,-1084.5038,-1084.5038
Mexico,MEX,2020-02-11,,0.0,,
Mexico,MEX,2020-02-12,,0.0,,
Mexico,MEX,2020-02-13,,0.0,,
Mexico,MEX,2020-02-14,,0.0,,
Mexico,MEX,2020-02-15,,0.0,,
Mexico,MEX,2020-02-16,,0.0,,
Mexico,MEX,2020-02-17,-1726.4495,0.0,-1726.4495,-1726.4495
Mexico,MEX,2020-02-18,,0.0,,
Mexico,MEX,2020-02-19,,0.0,,
Mexico,MEX,2020-02-20,,0.0,,
Mexico,MEX,2020-02-21,,0.0,,
Mexico,MEX,2020-02-22,,0.0,,
Mexico,MEX,2020-02-23,,0.0,,
Mexico,MEX,2020-02-24,-2744.1843,0.0,-2744.1843,-2744.1843
Mexico,MEX,2020-02-25,,0.0,,
Mexico,MEX,2020-02-26,,0.0,,
Mexico,MEX,2020-02-27,,0.0,,
Mexico,MEX,2020-02-28,,0.0,,
Mexico,MEX,2020-02-29,,0.0,,
Mexico,MEX,2020-03-01,,0.0,,
Mexico,MEX,2020-03-02,-3397.9192,0.0,-3397.9192,-3397.9192
Mexico,MEX,2020-03-03,,0.0,,
Mexico,MEX,2020-03-04,,0.0,,
Mexico,MEX,2020-03-05,,0.0,,
Mexico,MEX,2020-03-06,,0.0,,
Mexico,MEX,2020-03-07,,0.0,,
Mexico,MEX,2020-03-08,,0.0,,
Mexico,MEX,2020-03-09,-3952.654,0.0,-3952.654,-3952.654
Mexico,MEX,2020-03-10,,0.0,,
Mexico,MEX,2020-03-11,,0.0,,
Mexico,MEX,2020-03-12,,0.0,,
Mexico,MEX,2020-03-13,,0.0,,
Mexico,MEX,2020-03-14,,0.0,,
Mexico,MEX,2020-03-15,,0.0,,
Mexico,MEX,2020-03-16,-5152.589,0.0,-5152.589,-5152.589
Mexico,MEX,2020-03-17,,0.0,,
Mexico,MEX,2020-03-18,,0.0,,
Mexico,MEX,2020-03-19,,0.0,,
Mexico,MEX,2020-03-20,,3.0,,
Mexico,MEX,2020-03-21,,3.0,,
Mexico,MEX,2020-03-22,,4.0,,
Mexico,MEX,2020-03-23,-5515.5234,4.0,-5515.5234,-5515.5234
Mexico,MEX,2020-03-24,,6.0,,
Mexico,MEX,2020-03-25,,7.0,,
Mexico,MEX,2020-03-26,,10.0,,
Mexico,MEX,2020-03-27,,12.0,,
Mexico,MEX,2020-03-28,,20.0,,
Mexico,MEX,2020-03-29,,28.0,,
Mexico,MEX,2020-03-30,-6164.4585,43.0,-6164.4585,-6164.4585
Mexico,MEX,2020-03-31,,52.0,,
Mexico,MEX,2020-04-01,,66.0,,
Mexico,MEX,2020-04-02,,92.0,,
Mexico,MEX,2020-04-03,,114.0,,
Mexico,MEX,2020-04-04,,140.0,,
Mexico,MEX,2020-04-05,,174.0,,
Mexico,MEX,2020-04-06,-5943.7935,214.0,-5943.7935,-5943.7935
Mexico,MEX,2020-04-07,,247.0,,
Mexico,MEX,2020-04-08,,305.0,,
Mexico,MEX,2020-04-09,,367.0,,
Mexico,MEX,2020-04-10,,416.0,,
Mexico,MEX,2020-04-11,,478.0,,
Mexico,MEX,2020-04-12,,556.0,,
Mexico,MEX,2020-04-13,-4583.128,637.0,-4583.128,-4583.128
Mexico,MEX,2020-04-14,,725.0,,
Mexico,MEX,2020-04-15,,827.0,,
Mexico,MEX,2020-04-16,,941.0,,
Mexico,MEX,2020-04-17,,1056.0,,
Mexico,MEX,2020-04-18,,1163.0,,
Mexico,MEX,2020-04-19,,1305.0,,
Mexico,MEX,2020-04-20,-1297.8629,1442.0,-1297.8629,-1297.8629
Mexico,MEX,2020-04-21,,1623.0,,
Mexico,MEX,2020-04-22,,1834.0,,
Mexico,MEX,2020-04-23,,2049.0,,
Mexico,MEX,2020-04-24,,2265.0,,
Mexico,MEX,2020-04-25,,2495.0,,
Mexico,MEX,2020-04-26,,2758.0,,
Mexico,MEX,2020-04-27,3803.8022,3048.0,3803.8022,3803.8022
Mexico,MEX,2020-04-28,,3358.0,,
Mexico,MEX,2020-04-29,,3643.0,,
Mexico,MEX,2020-04-30,,3969.0,,
Mexico,MEX,2020-05-01,,4355.0,,
Mexico,MEX,2020-05-02,,4709.0,,
Mexico,MEX,2020-05-03,,5119.0,,
Mexico,MEX,2020-05-04,10758.268,5477.0,10758.268,10758.268
Mexico,MEX,2020-05-05,,5846.0,,
Mexico,MEX,2020-05-06,,6307.0,,
Mexico,MEX,2020-05-07,,6756.0,,
Mexico,MEX,2020-05-08,,7170.0,,
Mexico,MEX,2020-05-09,,7573.0,,
Mexico,MEX,2020-05-10,,8012.0,,
Mexico,MEX,2020-05-11,19342.332,8430.0,19342.332,19342.332
Mexico,MEX,2020-05-12,,8887.0,,
Mexico,MEX,2020-05-13,,9347.0,,
Mexico,MEX,2020-05-14,,9834.0,,
Mexico,MEX,2020-05-15,,10324.0,,
Mexico,MEX,2020-05-16,,10870.0,,
Mexico,MEX,2020-05-17,,11426.0,,
Mexico,MEX,2020-05-18,28655.998,11960.0,28655.998,28655.998
Mexico,MEX,2020-05-19,,12547.0,,
Mexico,MEX,2020-05-20,,13138.0,,
Mexico,MEX,2020-05-21,,13717.0,,
Mexico,MEX,2020-05-22,,14288.0,,
Mexico,MEX,2020-05-23,,14860.0,,
Mexico,MEX,2020-05-24,,15420.0,,
Mexico,MEX,2020-05-25,38309.664,15959.0,38309.664,38309.664
Mexico,MEX,2020-05-26,,16567.0,,
Mexico,MEX,2020-05-27,,17195.0,,
Mexico,MEX,2020-05-28,,17806.0,,
Mexico,MEX,2020-05-29,,18400.0,,
Mexico,MEX,2020-05-30,,19023.0,,
Mexico,MEX,2020-05-31,,19598.0,,
Mexico,MEX,2020-06-01,49064.93,20207.0,49064.93,49064.93
Mexico,MEX,2020-06-02,,20841.0,,
Mexico,MEX,2020-06-03,,21532.0,,
Mexico,MEX,2020-06-04,,22181.0,,
Mexico,MEX,2020-06-05,,22857.0,,
Mexico,MEX,2020-06-06,,23513.0,,
Mexico,MEX,2020-06-07,,24110.0,,
Mexico,MEX,2020-06-08,60615.395,24777.0,60615.395,60615.395
Mexico,MEX,2020-06-09,,25465.0,,
Mexico,MEX,2020-06-10,,26203.0,,
Mexico,MEX,2020-06-11,,26894.0,,
Mexico,MEX,2020-06-12,,27600.0,,
Mexico,MEX,2020-06-13,,28270.0,,
Mexico,MEX,2020-06-14,,29001.0,,
Mexico,MEX,2020-06-15,72274.055,29697.0,72274.055,72274.055
Mexico,MEX,2020-06-16,,30416.0,,
Mexico,MEX,2020-06-17,,31130.0,,
Mexico,MEX,2020-06-18,,31905.0,,
Mexico,MEX,2020-06-19,,32657.0,,
Mexico,MEX,2020-06-20,,33336.0,,
Mexico,MEX,2020-06-21,,33987.0,,
Mexico,MEX,2020-06-22,83867.52,34605.0,83867.52,83867.52
Mexico,MEX,2020-06-23,,35297.0,,
Mexico,MEX,2020-06-24,,35966.0,,
Mexico,MEX,2020-06-25,,36609.0,,
Mexico,MEX,2020-06-26,,37258.0,,
Mexico,MEX,2020-06-27,,37885.0,,
Mexico,MEX,2020-06-28,,38556.0,,
Mexico,MEX,2020-06-29,96325.19,39255.0,96325.19,96325.19
Mexico,MEX,2020-06-30,,39946.0,,
Mexico,MEX,2020-07-01,,40706.0,,
Mexico,MEX,2020-07-02,,41425.0,,
