,Country,Code,Date,Cases
0,Mexico,MEX,2020-01-09,0
1,Mexico,MEX,2020-01-10,0
2,Mexico,MEX,2020-01-11,0
3,Mexico,MEX,2020-01-12,0
4,Mexico,MEX,2020-01-13,0
5,Mexico,MEX,2020-01-14,0
6,Mexico,MEX,2020-01-15,0
7,Mexico,MEX,2020-01-16,0
8,Mexico,MEX,2020-01-17,0
9,Mexico,MEX,2020-01-18,0
10,Mexico,MEX,2020-01-19,0
11,Mexico,MEX,2020-01-20,0
12,Mexico,MEX,2020-01-21,0
13,Mexico,MEX,2020-01-22,0
14,Mexico,MEX,2020-01-23,0
15,Mexico,MEX,2020-01-24,0
16,Mexico,MEX,2020-01-25,0
17,Mexico,MEX,2020-01-26,0
18,Mexico,MEX,2020-01-27,0
19,Mexico,MEX,2020-01-28,0
20,Mexico,MEX,2020-01-29,0
21,Mexico,MEX,2020-01-30,0
22,Mexico,MEX,2020-01-31,0
23,Mexico,MEX,2020-02-01,0
24,Mexico,MEX,2020-02-02,0
25,Mexico,MEX,2020-02-03,0
26,Mexico,MEX,2020-02-04,0
27,Mexico,MEX,2020-02-05,0
28,Mexico,MEX,2020-02-06,0
29,Mexico,MEX,2020-02-07,0
30,Mexico,MEX,2020-02-08,0
31,Mexico,MEX,2020-02-09,0
32,Mexico,MEX,2020-02-10,0
33,Mexico,MEX,2020-02-11,0
34,Mexico,MEX,2020-02-12,0
35,Mexico,MEX,2020-02-13,0
36,Mexico,MEX,2020-02-14,0
37,Mexico,MEX,2020-02-15,0
38,Mexico,MEX,2020-02-16,0
39,Mexico,MEX,2020-02-17,0
40,Mexico,MEX,2020-02-18,0
41,Mexico,MEX,2020-02-19,0
42,Mexico,MEX,2020-02-20,0
43,Mexico,MEX,2020-02-21,1
44,Mexico,MEX,2020-02-22,1
45,Mexico,MEX,2020-02-23,1
46,Mexico,MEX,2020-02-24,1
47,Mexico,MEX,2020-02-25,1
48,Mexico,MEX,2020-02-26,1
49,Mexico,MEX,2020-02-27,1
50,Mexico,MEX,2020-02-28,0
51,Mexico,MEX,2020-02-29,3
52,Mexico,MEX,2020-03-01,5
53,Mexico,MEX,2020-03-02,7
54,Mexico,MEX,2020-03-03,9
55,Mexico,MEX,2020-03-04,14
56,Mexico,MEX,2020-03-05,23
57,Mexico,MEX,2020-03-06,33
58,Mexico,MEX,2020-03-07,41
59,Mexico,MEX,2020-03-08,45
60,Mexico,MEX,2020-03-09,50
61,Mexico,MEX,2020-03-10,56
62,Mexico,MEX,2020-03-11,56
63,Mexico,MEX,2020-03-12,64
64,Mexico,MEX,2020-03-13,93
65,Mexico,MEX,2020-03-14,123
66,Mexico,MEX,2020-03-15,183
67,Mexico,MEX,2020-03-16,228
68,Mexico,MEX,2020-03-17,257
69,Mexico,MEX,2020-03-18,329
70,Mexico,MEX,2020-03-19,416
71,Mexico,MEX,2020-03-20,493
72,Mexico,MEX,2020-03-21,603
73,Mexico,MEX,2020-03-22,669
74,Mexico,MEX,2020-03-23,702
75,Mexico,MEX,2020-03-24,735
76,Mexico,MEX,2020-03-25,826
77,Mexico,MEX,2020-03-26,942
78,Mexico,MEX,2020-03-27,1011
79,Mexico,MEX,2020-03-28,1084
80,Mexico,MEX,2020-03-29,1214
81,Mexico,MEX,2020-03-30,1320
82,Mexico,MEX,2020-03-31,1416
83,Mexico,MEX,2020-04-01,1593
84,Mexico,MEX,2020-04-02,1684
85,Mexico,MEX,2020-04-03,1881
86,Mexico,MEX,2020-04-04,2004
87,Mexico,MEX,2020-04-05,2134
88,Mexico,MEX,2020-04-06,2193
89,Mexico,MEX,2020-04-07,2286
90,Mexico,MEX,2020-04-08,2572
91,Mexico,MEX,2020-04-09,2776
92,Mexico,MEX,2020-04-10,2975
93,Mexico,MEX,2020-04-11,3111
94,Mexico,MEX,2020-04-12,3291
95,Mexico,MEX,2020-04-13,3505
96,Mexico,MEX,2020-04-14,3725
97,Mexico,MEX,2020-04-15,4047
98,Mexico,MEX,2020-04-16,4468
99,Mexico,MEX,2020-04-17,4872
100,Mexico,MEX,2020-04-18,5385
101,Mexico,MEX,2020-04-19,5958
102,Mexico,MEX,2020-04-20,6309
103,Mexico,MEX,2020-04-21,6624
104,Mexico,MEX,2020-04-22,7192
105,Mexico,MEX,2020-04-23,7727
106,Mexico,MEX,2020-04-24,8165
107,Mexico,MEX,2020-04-25,8675
108,Mexico,MEX,2020-04-26,9264
109,Mexico,MEX,2020-04-27,9613
110,Mexico,MEX,2020-04-28,9936
111,Mexico,MEX,2020-04-29,10357
112,Mexico,MEX,2020-04-30,10847
113,Mexico,MEX,2020-05-01,11372
114,Mexico,MEX,2020-05-02,11750
115,Mexico,MEX,2020-05-03,11571
116,Mexico,MEX,2020-05-04,11900
117,Mexico,MEX,2020-05-05,12160
118,Mexico,MEX,2020-05-06,12860
119,Mexico,MEX,2020-05-07,13133
120,Mexico,MEX,2020-05-08,13574
121,Mexico,MEX,2020-05-09,14221
122,Mexico,MEX,2020-05-10,15196
123,Mexico,MEX,2020-05-11,15360
124,Mexico,MEX,2020-05-12,15535
125,Mexico,MEX,2020-05-13,16011
126,Mexico,MEX,2020-05-14,16847
127,Mexico,MEX,2020-05-15,17688
128,Mexico,MEX,2020-05-16,18374
129,Mexico,MEX,2020-05-17,19538
130,Mexico,MEX,2020-05-18,20151
131,Mexico,MEX,2020-05-19,20338
132,Mexico,MEX,2020-05-20,21401
133,Mexico,MEX,2020-05-21,22041
134,Mexico,MEX,2020-05-22,22863
135,Mexico,MEX,2020-05-23,23749
136,Mexico,MEX,2020-05-24,24187
137,Mexico,MEX,2020-05-25,24333
138,Mexico,MEX,2020-05-26,24596
139,Mexico,MEX,2020-05-27,25203
140,Mexico,MEX,2020-05-28,25916
141,Mexico,MEX,2020-05-29,26430
142,Mexico,MEX,2020-05-30,26637
143,Mexico,MEX,2020-05-31,26973
144,Mexico,MEX,2020-06-01,27379
145,Mexico,MEX,2020-06-02,27576
146,Mexico,MEX,2020-06-03,28241
147,Mexico,MEX,2020-06-04,28655
148,Mexico,MEX,2020-06-05,29162
149,Mexico,MEX,2020-06-06,29865
150,Mexico,MEX,2020-06-07,30556
151,Mexico,MEX,2020-06-08,30883
152,Mexico,MEX,2020-06-09,31152
153,Mexico,MEX,2020-06-10,31990
154,Mexico,MEX,2020-06-11,33026
155,Mexico,MEX,2020-06-12,33779
156,Mexico,MEX,2020-06-13,34237
157,Mexico,MEX,2020-06-14,34822
158,Mexico,MEX,2020-06-15,34904
159,Mexico,MEX,2020-06-16,35138
160,Mexico,MEX,2020-06-17,35537
161,Mexico,MEX,2020-06-18,36140
162,Mexico,MEX,2020-06-19,36494
163,Mexico,MEX,2020-06-20,37169
164,Mexico,MEX,2020-06-21,37587
165,Mexico,MEX,2020-06-22,38092
166,Mexico,MEX,2020-06-23,38000
167,Mexico,MEX,2020-06-24,38324
168,Mexico,MEX,2020-06-25,38465
169,Mexico,MEX,2020-06-26,38654
170,Mexico,MEX,2020-06-27,38850
171,Mexico,MEX,2020-06-28,39306
172,Mexico,MEX,2020-06-29,39349
173,Mexico,MEX,2020-06-30,39804
174,Mexico,MEX,2020-07-01,40353
175,Mexico,MEX,2020-07-02,40965
176,Mexico,MEX,2020-07-03,42292
177,Mexico,MEX,2020-07-04,43050
178,Mexico,MEX,2020-07-05,43553
179,Mexico,MEX,2020-07-06,43534
180,Mexico,MEX,2020-07-07,43572
181,Mexico,MEX,2020-07-08,43892
182,Mexico,MEX,2020-07-09,44590
183,Mexico,MEX,2020-07-10,44347
184,Mexico,MEX,2020-07-11,44306
185,Mexico,MEX,2020-07-12,44406
186,Mexico,MEX,2020-07-13,44573
187,Mexico,MEX,2020-07-14,44748
188,Mexico,MEX,2020-07-15,45792
189,Mexico,MEX,2020-07-16,46328
190,Mexico,MEX,2020-07-17,47739
191,Mexico,MEX,2020-07-18,48946
192,Mexico,MEX,2020-07-19,49775
193,Mexico,MEX,2020-07-20,50301
194,Mexico,MEX,2020-07-21,50524
195,Mexico,MEX,2020-07-22,50730
196,Mexico,MEX,2020-07-23,50927
197,Mexico,MEX,2020-07-24,50367
198,Mexico,MEX,2020-07-25,50198
199,Mexico,MEX,2020-07-26,50177
200,Mexico,MEX,2020-07-27,49935
201,Mexico,MEX,2020-07-28,49504
202,Mexico,MEX,2020-07-29,48898
203,Mexico,MEX,2020-07-30,48440
204,Mexico,MEX,2020-07-31,47810
205,Mexico,MEX,2020-08-01,47289
206,Mexico,MEX,2020-08-02,45999
207,Mexico,MEX,2020-08-03,45622
208,Mexico,MEX,2020-08-04,45115
209,Mexico,MEX,2020-08-05,44125
210,Mexico,MEX,2020-08-06,43316
211,Mexico,MEX,2020-08-07,42821
212,Mexico,MEX,2020-08-08,41923
213,Mexico,MEX,2020-08-09,41814
214,Mexico,MEX,2020-08-10,41662
215,Mexico,MEX,2020-08-11,41541
216,Mexico,MEX,2020-08-12,41275
217,Mexico,MEX,2020-08-13,40763
218,Mexico,MEX,2020-08-14,40085
219,Mexico,MEX,2020-08-15,39863
220,Mexico,MEX,2020-08-16,39452
221,Mexico,MEX,2020-08-17,39025
222,Mexico,MEX,2020-08-18,38923
223,Mexico,MEX,2020-08-19,38555
224,Mexico,MEX,2020-08-20,38406
225,Mexico,MEX,2020-08-21,38204
226,Mexico,MEX,2020-08-22,37779
227,Mexico,MEX,2020-08-23,37867
228,Mexico,MEX,2020-08-24,37775
229,Mexico,MEX,2020-08-25,37791
230,Mexico,MEX,2020-08-26,37987
231,Mexico,MEX,2020-08-27,37952
232,Mexico,MEX,2020-08-28,38690
