Entity,Code,Day,Weekly cases
Philippines,PHL,2020-01-09,0
Philippines,PHL,2020-01-10,0
Philippines,PHL,2020-01-11,0
Philippines,PHL,2020-01-12,0
Philippines,PHL,2020-01-13,0
Philippines,PHL,2020-01-14,0
Philippines,PHL,2020-01-15,0
Philippines,PHL,2020-01-16,0
Philippines,PHL,2020-01-17,0
Philippines,PHL,2020-01-18,0
Philippines,PHL,2020-01-19,0
Philippines,PHL,2020-01-20,0
Philippines,PHL,2020-01-21,0
Philippines,PHL,2020-01-22,0
Philippines,PHL,2020-01-23,0
Philippines,PHL,2020-01-24,0
Philippines,PHL,2020-01-25,0
Philippines,PHL,2020-01-26,0
Philippines,PHL,2020-01-27,0
Philippines,PHL,2020-01-28,0
Philippines,PHL,2020-01-29,0
Philippines,PHL,2020-01-30,0
Philippines,PHL,2020-01-31,1
Philippines,PHL,2020-02-01,1
Philippines,PHL,2020-02-02,1
Philippines,PHL,2020-02-03,2
Philippines,PHL,2020-02-04,2
Philippines,PHL,2020-02-05,2
Philippines,PHL,2020-02-06,3
Philippines,PHL,2020-02-07,2
Philippines,PHL,2020-02-08,2
Philippines,PHL,2020-02-09,2
Philippines,PHL,2020-02-10,1
Philippines,PHL,2020-02-11,1
Philippines,PHL,2020-02-12,1
Philippines,PHL,2020-02-13,0
Philippines,PHL,2020-02-14,0
Philippines,PHL,2020-02-15,0
Philippines,PHL,2020-02-16,0
Philippines,PHL,2020-02-17,0
Philippines,PHL,2020-02-18,0
Philippines,PHL,2020-02-19,0
Philippines,PHL,2020-02-20,0
Philippines,PHL,2020-02-21,0
Philippines,PHL,2020-02-22,0
Philippines,PHL,2020-02-23,0
Philippines,PHL,2020-02-24,0
Philippines,PHL,2020-02-25,0
Philippines,PHL,2020-02-26,0
Philippines,PHL,2020-02-27,0
Philippines,PHL,2020-02-28,0
Philippines,PHL,2020-02-29,0
Philippines,PHL,2020-03-01,0
Philippines,PHL,2020-03-02,0
Philippines,PHL,2020-03-03,0
Philippines,PHL,2020-03-04,0
Philippines,PHL,2020-03-05,0
Philippines,PHL,2020-03-06,0
Philippines,PHL,2020-03-07,2
Philippines,PHL,2020-03-08,3
Philippines,PHL,2020-03-09,7
Philippines,PHL,2020-03-10,17
Philippines,PHL,2020-03-11,30
Philippines,PHL,2020-03-12,46
Philippines,PHL,2020-03-13,49
Philippines,PHL,2020-03-14,59
Philippines,PHL,2020-03-15,105
Philippines,PHL,2020-03-16,130
Philippines,PHL,2020-03-17,122
Philippines,PHL,2020-03-18,154
Philippines,PHL,2020-03-19,153
Philippines,PHL,2020-03-20,165
Philippines,PHL,2020-03-21,166
Philippines,PHL,2020-03-22,196
Philippines,PHL,2020-03-23,240
Philippines,PHL,2020-03-24,320
Philippines,PHL,2020-03-25,365
Philippines,PHL,2020-03-26,434
Philippines,PHL,2020-03-27,490
Philippines,PHL,2020-03-28,573
Philippines,PHL,2020-03-29,768
Philippines,PHL,2020-03-30,1038
Philippines,PHL,2020-03-31,1084
Philippines,PHL,2020-04-01,1532
