Entity,Code,Day,Cumulative excess deaths (central estimate),Total confirmed deaths due to COVID-19,"Cumulative excess deaths (95% CI, upper bound)","Cumulative excess deaths (95% CI, lower bound)"
Philippines,PHL,2020-01-01,0.0,,0.0,0.0
Philippines,PHL,2020-01-04,,0.0,,
Philippines,PHL,2020-01-05,,0.0,,
Philippines,PHL,2020-01-06,0.0,0.0,0.0,0.0
Philippines,PHL,2020-01-07,,0.0,,
Philippines,PHL,2020-01-08,,0.0,,
Philippines,PHL,2020-01-09,,0.0,,
Philippines,PHL,2020-01-10,,0.0,,
Philippines,PHL,2020-01-11,,0.0,,
Philippines,PHL,2020-01-12,,0.0,,
Philippines,PHL,2020-01-13,0.0,0.0,0.0,0.0
Philippines,PHL,2020-01-14,,0.0,,
Philippines,PHL,2020-01-15,,0.0,,
Philippines,PHL,2020-01-16,,0.0,,
Philippines,PHL,2020-01-17,,0.0,,
Philippines,PHL,2020-01-18,,0.0,,
Philippines,PHL,2020-01-19,,0.0,,
Philippines,PHL,2020-01-20,0.0,0.0,0.0,0.0
Philippines,PHL,2020-01-21,,0.0,,
Philippines,PHL,2020-01-22,,0.0,,
Philippines,PHL,2020-01-23,,0.0,,
Philippines,PHL,2020-01-24,,0.0,,
Philippines,PHL,2020-01-25,,0.0,,
Philippines,PHL,2020-01-26,,0.0,,
Philippines,PHL,2020-01-27,-280.923,0.0,-280.923,-280.923
Philippines,PHL,2020-01-28,,0.0,,
Philippines,PHL,2020-01-29,,0.0,,
Philippines,PHL,2020-01-30,,0.0,,
Philippines,PHL,2020-01-31,,0.0,,
Philippines,PHL,2020-02-01,,0.0,,
Philippines,PHL,2020-02-02,,1.0,,
Philippines,PHL,2020-02-03,-947.0659,1.0,-947.0659,-947.0659
Philippines,PHL,2020-02-04,,1.0,,
Philippines,PHL,2020-02-05,,1.0,,
Philippines,PHL,2020-02-06,,1.0,,
Philippines,PHL,2020-02-07,,1.0,,
Philippines,PHL,2020-02-08,,1.0,,
Philippines,PHL,2020-02-09,,1.0,,
Philippines,PHL,2020-02-10,-1613.2089,1.0,-1613.2089,-1613.2089
Philippines,PHL,2020-02-11,,1.0,,
Philippines,PHL,2020-02-12,,1.0,,
Philippines,PHL,2020-02-13,,1.0,,
Philippines,PHL,2020-02-14,,1.0,,
Philippines,PHL,2020-02-15,,1.0,,
Philippines,PHL,2020-02-16,,1.0,,
Philippines,PHL,2020-02-17,-2279.3518,1.0,-2279.3518,-2279.3518
Philippines,PHL,2020-02-18,,1.0,,
Philippines,PHL,2020-02-19,,1.0,,
Philippines,PHL,2020-02-20,,1.0,,
Philippines,PHL,2020-02-21,,1.0,,
Philippines,PHL,2020-02-22,,1.0,,
Philippines,PHL,2020-02-23,,1.0,,
Philippines,PHL,2020-02-24,-2945.4946,1.0,-2945.4946,-2945.4946
Philippines,PHL,2020-02-25,,1.0,,
Philippines,PHL,2020-02-26,,1.0,,
Philippines,PHL,2020-02-27,,1.0,,
Philippines,PHL,2020-02-28,,1.0,,
Philippines,PHL,2020-02-29,,1.0,,
Philippines,PHL,2020-03-01,,1.0,,
Philippines,PHL,2020-03-02,-4054.8152,1.0,-4054.8152,-4054.8152
Philippines,PHL,2020-03-03,,1.0,,
Philippines,PHL,2020-03-04,,1.0,,
Philippines,PHL,2020-03-05,,1.0,,
Philippines,PHL,2020-03-06,,1.0,,
Philippines,PHL,2020-03-07,,1.0,,
Philippines,PHL,2020-03-08,,1.0,,
Philippines,PHL,2020-03-09,-5164.1357,1.0,-5164.1357,-5164.1357
Philippines,PHL,2020-03-10,,1.0,,
Philippines,PHL,2020-03-11,,1.0,,
Philippines,PHL,2020-03-12,,2.0,,
Philippines,PHL,2020-03-13,,5.0,,
Philippines,PHL,2020-03-14,,8.0,,
